Time,Hx,Hy,Hz,Ax,Ay,Az,PID_Output,Integral,Setpoint,XY-Heading,YZ-Heading,ZX-Heading
8.300014,-0.03458333,-0.1501667,-0.40725,-0.15,-0.02,1.16,-900,1728.821,291,-65.03094,356.0309,249.7594,184.8539
8.350014,-0.1391667,-0.1,-0.4145833,0.06,-0.58,1.04,-900,1728.821,291,-65.03094,314.6996,256.439,198.5558
8.400014,-0.1226667,-0.009583333,-0.4154167,0.36,0.05,1.15,900,1724.887,291,-23.69965,283.4672,268.6785,196.4511
8.450014,-0.13375,0.045,-0.4341667,-0.52,-0.25,0.92,900,1726.138,291,7.532837,260.4045,275.9174,197.1221
8.500014,-0.15475,0.07141667,-0.41,-0.37,-0.48,0.98,900,1732.242,291,36.77319,254.2268,279.881,200.6785
8.550014,-0.1033333,0.1329167,-0.4154167,0.33,0.01,0.78,900,1732.242,291,36.77319,226.8625,287.7426,193.9686
8.600015,-0.1279167,0.176,-0.3745833,0.37,-0.13,0.93,900,1742.889,291,64.13745,225.0096,295.1667,198.8546
8.650015,-0.1089167,0.1885,-0.381,0.29,0.46,1.03,900,1754.838,291,71.98038,219.0196,296.3239,195.9537
8.700015,-0.07808333,0.241,-0.3443333,0.39,-0.09,1.0,900,1754.838,291,71.98038,206.9522,304.9883,192.7767
8.750015,-0.03808333,0.241,-0.3626667,0.32,-0.14,0.84,900,1768.789,291,84.04782,197.9797,303.6049,185.9946
8.800015,-0.01641667,0.25,-0.3793334,0.42,-0.16,1.02,900,1785.098,291,98.24298,192.757,303.3869,182.4781
8.850016,0.05541667,0.2751667,-0.3418333,-0.36,0.14,0.76,900,1785.098,291,98.24298,177.6133,308.8331,170.7915
8.900016,0.08791667,0.2751667,-0.37725,0.14,-0.36,1.06,900,1803.92,291,113.3867,171.2811,306.1071,166.8816
8.950016,0.08875,0.2470833,-0.3618333,0.21,0.28,1.1,900,1823.793,291,119.7189,169.2422,304.3278,166.2186
9.000016,0.07975,0.2543334,-0.3458333,0.07,-0.16,0.59,900,1843.615,291,119.4096,171.5904,306.3316,167.0145
9.050016,0.09708333,0.2339167,-0.34875,0.33,-0.4,1.17,900,1843.615,291,119.4096,166.4599,303.8509,164.4441
9.100017,0.1205833,0.2458333,-0.3525,-0.16,-0.24,0.58,900,1864.289,291,124.5401,162.8717,304.8919,161.1152
9.150017,0.07766667,0.2270833,-0.3670833,0.09,-0.55,1.26,900,1884.355,291,120.8816,170.1184,301.7416,168.0536
9.200017,0.09083334,0.2475,-0.3818333,-0.38,-0.38,1.01,900,1884.355,291,120.8816,168.8467,302.9508,166.6188
9.250017,0.08766666,0.2616667,-0.3614167,-0.43,-0.16,0.99,900,1924.91,291,122.1533,170.4775,305.9046,166.3654
9.300017,0.09458333,0.2608333,-0.3308333,0.31,0.4,0.92,900,1945.151,291,121.9316,169.0684,308.2527,164.0451
9.350018,0.09583333,0.2651667,-0.31975,0.29,0.19,0.85,900,1945.151,291,121.9316,169.1297,309.6687,163.3158
9.400018,0.08349999,0.2539167,-0.3466667,-0.13,0.12,1.29,900,1965.381,291,121.8703,170.7966,306.221,166.4574
9.450018,0.08958333,0.26475,-0.3529167,-0.12,0.24,0.55,900,1985.417,291,120.6943,170.3057,306.8764,165.757
9.500018,0.1016667,0.25125,-0.3593333,-0.35,-0.07,0.71,900,1985.417,291,120.6943,166.9696,304.9617,164.2021
9.550018,0.0975,0.25725,-0.36625,0.09,-0.15,0.9700001,900,2006.006,291,124.0304,168.2429,305.0838,165.0929
9.600019,0.07766667,0.241,-0.3483333,0.02,0.17,1.24,900,2025.903,291,119.8625,171.1375,304.678,167.4305
9.650019,0.10725,0.2526667,-0.3454167,0.19,0.41,1.07,900,2025.903,291,119.8625,166.0001,306.1849,162.7507
9.700019,0.09166667,0.241,-0.3754167,0.02,-0.48,1.17,900,2046.653,291,124.9999,168.1752,302.6986,166.2784
9.750019,0.07058334,0.2508333,-0.3691667,0.01,0.11,1.04,900,2067.042,291,122.8248,173.2836,304.1945,169.1759
9.800019,0.03516667,0.2518333,-0.3364167,-0.18,-0.32,0.7,900,2067.042,291,122.8248,181.0505,306.8176,174.0324
9.850019,0.0325,0.24225,-0.3933333,-0.15,-0.36,1.04,900,2085.293,291,109.9495,181.3589,301.6285,175.2765
9.90002,0.07433333,0.25875,-0.375,-0.31,-0.36,0.9599999,900,2103.494,291,109.6411,172.9718,304.6057,168.788
9.95002,0.04808333,0.2579167,-0.37375,0.2,0.33,1.16,900,2122.179,291,112.5604,178.4396,304.6087,172.6691
