x,y,z,heading1,heading2,heading3
0.2283333,-0.3041667,0.2054167,143.105,-55.96717,41.97565,2.479998
0.2635,-0.286,0.1905833,137.3447,-56.32149,35.87733,2.489998
0.2666667,-0.3014167,0.1885,138.5005,-57.97895,35.25553,2.499998
0.281,-0.2768333,0.1804167,134.572,-56.90707,32.70258,2.509998
0.2679167,-0.2925,0.1841667,137.5117,-57.80426,34.50474,2.519998
0.28475,-0.27725,0.1808333,134.2354,-56.88603,32.418,2.529998
0.2955833,-0.2825,0.1918333,133.7035,-55.8213,32.98354,2.539998
0.3045833,-0.2716667,0.1743333,131.7307,-57.31099,29.78538,2.549998
0.3133333,-0.26725,0.1829167,130.4617,-55.61069,30.27538,2.559998
0.31125,-0.25225,0.171,129.0228,-55.86669,28.78429,2.569998
0.31125,-0.2629167,0.16625,130.1882,-57.69361,28.1083,2.579998
0.3280833,-0.2639167,0.16725,128.8139,-57.63663,27.01153,2.589998
0.3354167,-0.2354167,0.176,125.0636,-53.21782,27.68691,2.599998
0.33625,-0.2470833,0.165,126.3092,-56.26536,26.13748,2.609998
0.3395833,-0.2479167,0.17725,126.1317,-54.43682,27.5629,2.619998
0.33875,-0.2539167,0.1641667,126.8541,-57.11581,25.85598,2.629998
0.3458333,-0.2401667,0.1735,124.7783,-54.15509,26.64231,2.639998
0.3354167,-0.24225,0.1914167,125.8382,-51.68555,29.71268,2.649998
0.3341667,-0.2491667,0.1901667,126.7095,-52.64874,29.64322,2.659998
0.321,-0.2430833,0.1866667,127.1355,-52.4789,30.17869,2.669998
0.31725,-0.2439167,0.1955833,127.5548,-51.27579,31.65366,2.679998
0.3301667,-0.2379167,0.1935,125.7764,-50.87819,30.37318,2.689998
0.31625,-0.25725,0.176,129.1262,-55.62165,29.09689,2.699998
0.3045833,-0.256,0.18625,130.0468,-53.96264,31.44541,2.709998
0.3133333,-0.24625,0.1980833,128.164,-51.18682,32.30029,2.719998
0.3133333,-0.2539167,0.196,129.0204,-52.33521,32.02729,2.729998
0.3075,-0.24875,0.2155833,128.9709,-49.08561,35.03368,2.739998
0.3041667,-0.2539167,0.2105833,129.8549,-50.32971,34.69596,2.749998
0.2976667,-0.2379167,0.22125,128.6344,-47.07879,36.62272,2.759998
0.3104167,-0.2391667,0.2229167,127.6132,-47.01408,35.68291,2.769998
0.291,-0.25725,0.2208333,131.4773,-49.35593,37.19404,2.779998
0.2843333,-0.25875,0.211,132.3029,-50.80417,36.57862,2.789998
0.2779167,-0.2680833,0.2143333,133.9682,-51.35757,37.63993,2.799998
0.26625,-0.2825,0.2101667,136.6962,-53.35249,38.28609,2.809998
0.2770833,-0.2854167,0.2054167,135.8488,-54.25713,36.55151,2.819998
0.251,-0.315,0.20375,141.4513,-57.10418,39.06807,2.829998
0.26375,-0.2941667,0.1930833,138.1206,-56.72015,36.20672,2.839998
0.2605834,-0.2958333,0.1858333,138.6249,-57.86423,35.49432,2.849998
0.2576667,-0.30625,0.1866667,139.9241,-58.63669,35.92146,2.859998
0.2383333,-0.3070833,0.176,142.1843,-60.1815,36.44444,2.869998
0.2489167,-0.3191667,0.176,142.0495,-61.12607,35.26275,2.879998
0.2493333,-0.31875,0.1629167,141.9667,-62.92792,33.16096,2.889998
0.24975,-0.3266666,0.1629167,142.6006,-63.49344,33.11717,2.899998
0.2408333,-0.32875,0.1420833,143.7745,-66.62635,30.53913,2.909998
0.2320833,-0.32875,0.16125,144.7796,-63.87231,34.79132,2.919998
0.2201667,-0.3318333,0.1514167,146.4363,-65.47262,34.51772,2.929998
0.2251667,-0.3589167,0.1493333,147.8978,-67.40942,33.55283,2.939998
0.2135,-0.3525,0.1416667,148.7978,-68.10523,33.56603,2.949998
0.1991667,-0.356,0.1276667,150.7749,-70.27144,32.66004,2.959998
0.21,-0.3593333,0.1170833,149.6973,-71.95258,29.1414,2.969998
0.2029167,-0.3814167,0.10725,151.9867,-74.29462,27.85834,2.979998
0.20125,-0.37725,0.09666666,151.9216,-75.62774,25.65643,2.989998
